date,year,month,day,week,weekday_name,is_weekend
2024-11-05,2024,11,5,45,Tuesday,False
2024-11-06,2024,11,6,45,Wednesday,False
2024-11-07,2024,11,7,45,Thursday,False
2024-11-08,2024,11,8,45,Friday,False
2024-11-09,2024,11,9,45,Saturday,True
2024-11-10,2024,11,10,45,Sunday,True
2024-11-11,2024,11,11,46,Monday,False
2024-11-12,2024,11,12,46,Tuesday,False
2024-11-13,2024,11,13,46,Wednesday,False
2024-11-14,2024,11,14,46,Thursday,False
2024-11-15,2024,11,15,46,Friday,False
2024-11-16,2024,11,16,46,Saturday,True
2024-11-17,2024,11,17,46,Sunday,True
2024-11-18,2024,11,18,47,Monday,False
2024-11-19,2024,11,19,47,Tuesday,False
2024-11-20,2024,11,20,47,Wednesday,False
2024-11-21,2024,11,21,47,Thursday,False
2024-11-22,2024,11,22,47,Friday,False
2024-11-23,2024,11,23,47,Saturday,True
2024-11-24,2024,11,24,47,Sunday,True
2024-11-25,2024,11,25,48,Monday,False
2024-11-26,2024,11,26,48,Tuesday,False
2024-11-27,2024,11,27,48,Wednesday,False
2024-11-28,2024,11,28,48,Thursday,False
2024-11-29,2024,11,29,48,Friday,False
2024-11-30,2024,11,30,48,Saturday,True
2024-12-01,2024,12,1,48,Sunday,True
2024-12-02,2024,12,2,49,Monday,False
2024-12-03,2024,12,3,49,Tuesday,False
2024-12-04,2024,12,4,49,Wednesday,False
2024-12-05,2024,12,5,49,Thursday,False
2024-12-06,2024,12,6,49,Friday,False
2024-12-07,2024,12,7,49,Saturday,True
2024-12-08,2024,12,8,49,Sunday,True
2024-12-09,2024,12,9,50,Monday,False
2024-12-10,2024,12,10,50,Tuesday,False
2024-12-11,2024,12,11,50,Wednesday,False
2024-12-12,2024,12,12,50,Thursday,False
2024-12-13,2024,12,13,50,Friday,False
2024-12-14,2024,12,14,50,Saturday,True
2024-12-15,2024,12,15,50,Sunday,True
2024-12-16,2024,12,16,51,Monday,False
2024-12-17,2024,12,17,51,Tuesday,False
2024-12-18,2024,12,18,51,Wednesday,False
2024-12-19,2024,12,19,51,Thursday,False
2024-12-20,2024,12,20,51,Friday,False
2024-12-21,2024,12,21,51,Saturday,True
2024-12-22,2024,12,22,51,Sunday,True
2024-12-23,2024,12,23,52,Monday,False
2024-12-24,2024,12,24,52,Tuesday,False
2024-12-25,2024,12,25,52,Wednesday,False
2024-12-26,2024,12,26,52,Thursday,False
2024-12-27,2024,12,27,52,Friday,False
2024-12-28,2024,12,28,52,Saturday,True
2024-12-29,2024,12,29,52,Sunday,True
2024-12-30,2024,12,30,1,Monday,False
2024-12-31,2024,12,31,1,Tuesday,False
2025-01-01,2025,1,1,1,Wednesday,False
2025-01-02,2025,1,2,1,Thursday,False
2025-01-03,2025,1,3,1,Friday,False
2025-01-04,2025,1,4,1,Saturday,True
2025-01-05,2025,1,5,1,Sunday,True
2025-01-06,2025,1,6,2,Monday,False
2025-01-07,2025,1,7,2,Tuesday,False
2025-01-08,2025,1,8,2,Wednesday,False
2025-01-09,2025,1,9,2,Thursday,False
2025-01-10,2025,1,10,2,Friday,False
2025-01-11,2025,1,11,2,Saturday,True
2025-01-12,2025,1,12,2,Sunday,True
2025-01-13,2025,1,13,3,Monday,False
2025-01-14,2025,1,14,3,Tuesday,False
2025-01-15,2025,1,15,3,Wednesday,False
2025-01-16,2025,1,16,3,Thursday,False
2025-01-17,2025,1,17,3,Friday,False
2025-01-18,2025,1,18,3,Saturday,True
2025-01-19,2025,1,19,3,Sunday,True
2025-01-20,2025,1,20,4,Monday,False
