ono,lineNo,pid,qty,uprice,line_total,cid,odate
401,1,301,1,700.0,700.0,201,2025-09-05
401,2,304,1,200.0,200.0,201,2025-09-05
402,1,301,1,700.0,700.0,202,2025-09-18
402,2,302,1,1500.0,1500.0,202,2025-09-18
402,3,309,1,85.0,85.0,202,2025-09-18
403,1,301,1,700.0,700.0,203,2025-08-20
403,2,306,1,150.0,150.0,203,2025-08-20
403,3,305,1,45.0,45.0,203,2025-08-20
403,4,308,1,250.0,250.0,203,2025-08-20
403,5,310,1,800.0,800.0,203,2025-08-20
404,1,304,1,200.0,200.0,204,2025-06-10
404,2,305,1,45.0,45.0,204,2025-06-10
404,3,309,1,85.0,85.0,204,2025-06-10
405,1,303,1,120.0,120.0,205,2024-11-05
405,2,306,1,150.0,150.0,205,2024-11-05
405,3,307,1,180.0,180.0,205,2024-11-05
405,4,310,1,800.0,800.0,205,2024-11-05
406,1,304,1,200.0,200.0,206,2025-07-14
406,2,309,1,85.0,85.0,206,2025-07-14
407,1,303,1,120.0,120.0,207,2025-09-20
407,2,308,1,250.0,250.0,207,2025-09-20
407,3,307,1,180.0,180.0,207,2025-09-20
407,4,306,1,150.0,150.0,207,2025-09-20
407,5,304,1,200.0,200.0,207,2025-09-20
408,1,305,1,45.0,45.0,208,2024-12-25
408,2,304,1,200.0,200.0,208,2024-12-25
408,3,301,1,700.0,700.0,208,2024-12-25
408,4,306,1,150.0,150.0,208,2024-12-25
409,1,301,1,700.0,700.0,209,2025-09-01
410,1,301,1,700.0,700.0,210,2025-05-20
411,1,301,1,700.0,700.0,304,2025-10-27 19:19:22
412,1,601,2,299.99,599.98,304,2025-10-27 19:26:05
412,2,706,1,49.99,49.99,304,2025-10-27 19:26:05
413,1,608,23,24.99,574.77,304,2025-10-27 19:26:42
414,1,608,1,24.99,24.99,304,2025-10-28 11:31:35
415,1,608,1,24.99,24.99,304,2025-11-02 12:53:30
416,1,713,1,10.0,10.0,304,2025-11-03 15:38:52
417,1,714,1,300.0,300.0,999,2026-02-04 12:05:35
