cid,sessionNo,ts,query
201,3,2025-10-27 17:46:05,gaming
201,3,2025-10-27 17:46:50,ar glasses
201,4,2025-10-27 18:27:20,laptop
201,4,2025-10-27 18:28:38,high gaming
201,5,2025-10-27 18:55:19,glasses
201,5,2025-10-27 18:56:13,glasses
304,1,2025-10-27 19:08:52,er
304,1,2025-10-27 19:09:10,phone
304,1,2025-10-27 19:10:48,smart
304,2,2025-10-27 19:16:57,phone
304,2,2025-10-27 19:18:07,phone
304,2,2025-10-27 19:18:22,laptop
304,2,2025-10-27 19:19:32,phone
304,3,2025-10-27 19:24:37,key
304,3,2025-10-27 19:25:13,head
304,3,2025-10-27 19:25:29,car
304,3,2025-10-27 19:25:37,er
304,3,2025-10-27 19:26:14,lap
304,3,2025-10-27 19:27:42,gaming
304,5,2025-10-27 21:57:40,high gaming
304,6,2025-10-28 11:05:30,dan
304,6,2025-10-28 11:05:43,laptop
304,7,2025-10-28 11:30:59,laptop
304,9,2025-10-30 22:03:18,laptop
304,9,2025-10-30 22:03:41,blender
304,10,2025-10-30 22:34:05,laptop
304,12,2025-10-31 20:51:20,laptop
304,13,2025-10-31 20:54:45,laptop
304,15,2025-11-02 12:49:33,laptop
304,16,2025-11-02 12:53:09,laptop
304,17,2025-11-02 13:15:02,laptop
304,18,2025-11-03 15:33:05,ph
304,19,2025-11-03 15:33:50,ph
304,19,2025-11-03 15:38:29,ph
304,20,2025-11-04 15:13:17,laptop
304,21,2025-11-04 15:14:08,phone
201,6,2026-02-04 12:04:44,phone
999,1,2026-02-04 12:05:02,tv
999,1,2026-02-04 12:05:13,phone
