cid,sessionNo,start_time,end_time,duration_minutes
201,1,2025-09-05 10:00:00,2025-09-05 12:00:00,120.0
201,2,2025-08-25 11:00:00,2025-08-25 12:00:00,60.0
202,1,2025-09-18 09:00:00,2025-09-18 10:00:00,60.0
203,1,2025-09-10 13:00:00,2025-09-10 14:00:00,60.0
203,2,2025-08-20 08:00:00,2025-08-20 09:30:00,90.0
204,1,2025-09-02 15:00:00,2025-09-02 16:00:00,60.0
204,2,2025-06-10 09:00:00,2025-06-10 10:00:00,60.0
205,1,2024-11-05 09:00:00,2024-11-05 10:00:00,60.0
205,2,2025-09-14 11:00:00,2025-09-14 11:45:00,45.0
206,1,2025-07-14 10:00:00,2025-07-14 11:00:00,60.0
206,2,2025-08-28 09:00:00,2025-08-28 10:30:00,90.0
207,1,2025-09-20 09:30:00,2025-09-20 11:30:00,120.0
208,1,2024-12-25 15:00:00,2024-12-25 16:00:00,60.0
208,2,2025-08-30 14:00:00,2025-08-30 15:00:00,60.0
209,1,2025-09-01 10:00:00,2025-09-01 11:00:00,60.0
210,1,2025-05-20 08:00:00,2025-05-20 09:00:00,60.0
201,3,2025-10-27 17:45:25,2025-10-27 17:47:09,1.7
303,1,2025-10-27 17:57:34,2025-10-27 17:57:42,0.1
201,4,2025-10-27 18:27:12,2025-10-27 18:29:27,2.2
201,5,2025-10-27 18:55:06,2025-10-27 18:56:59,1.9
304,1,2025-10-27 19:08:43,2025-10-27 19:14:36,5.9
304,2,2025-10-27 19:16:39,2025-10-27 19:20:07,3.5
304,3,2025-10-27 19:24:32,2025-10-27 19:28:15,3.7
304,4,2025-10-27 20:17:34,2025-10-27 20:17:39,0.1
203,3,2025-10-27 20:18:11,2025-10-27 20:18:15,0.1
304,5,2025-10-27 21:57:30,2025-10-27 21:57:51,0.3
304,6,2025-10-28 11:05:14,2025-10-28 11:06:19,1.1
304,7,2025-10-28 11:30:50,2025-10-28 11:32:45,1.9
304,8,2025-10-30 22:00:59,,
304,9,2025-10-30 22:03:11,2025-10-30 22:05:09,2.0
304,10,2025-10-30 22:34:00,2025-10-30 22:36:17,2.3
304,11,2025-10-31 20:44:22,2025-10-31 20:44:44,0.4
304,12,2025-10-31 20:51:08,2025-10-31 20:51:33,0.4
304,13,2025-10-31 20:54:41,,
304,14,2025-11-02 00:02:14,,
304,15,2025-11-02 12:49:33,2025-11-02 12:51:49,2.3
304,16,2025-11-02 12:52:01,,
304,17,2025-11-02 13:15:02,2025-11-02 13:15:14,0.2
304,18,2025-11-03 15:33:05,2025-11-03 15:33:37,0.5
304,19,2025-11-03 15:33:50,2025-11-03 15:41:04,7.2
304,20,2025-11-04 15:13:17,2025-11-04 15:13:31,0.2
304,21,2025-11-04 15:14:08,2025-11-04 15:15:39,1.5
201,6,2026-02-04 12:04:44,2026-02-04 12:04:48,0.1
999,1,2026-02-04 12:05:02,2026-02-04 12:05:52,0.8
