cid,sessionNo,ts,pid
201,5,2025-10-27 18:55:25,703
201,5,2025-10-27 18:55:35,703
201,5,2025-10-27 18:56:19,703
304,1,2025-10-27 19:11:03,301
304,2,2025-10-27 19:17:01,301
304,2,2025-10-27 19:18:09,301
304,2,2025-10-27 19:18:25,608
304,3,2025-10-27 19:24:42,706
304,3,2025-10-27 19:25:17,601
304,3,2025-10-27 19:25:45,601
304,3,2025-10-27 19:26:17,608
304,3,2025-10-27 19:27:45,502
304,3,2025-10-27 19:27:54,302
304,7,2025-10-28 11:31:04,608
304,9,2025-10-30 22:03:20,608
304,9,2025-10-30 22:03:44,309
304,10,2025-10-30 22:34:06,608
304,12,2025-10-31 20:51:21,608
304,15,2025-11-02 12:50:55,608
304,16,2025-11-02 12:53:11,608
304,17,2025-11-02 13:15:06,608
304,19,2025-11-03 15:35:24,712
304,19,2025-11-03 15:38:36,713
304,20,2025-11-04 15:13:21,608
304,21,2025-11-04 15:14:10,714
999,1,2026-02-04 12:05:15,714
